Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2040","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","55.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2899","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","84.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3360","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","115.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3322","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3554","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2385","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","53.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2445","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3307","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3307","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","106.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2997","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","94.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3391","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3695","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","109.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3149","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","94.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2655","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2563","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","60.73","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2956","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","88.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3270","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3769","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","99.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2775","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.93","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2755","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","63.97","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2412","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","73.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3307","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","98.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2342","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3301","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","95.68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","27","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2854","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","83.26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","233","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2737","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","35","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2541","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","70.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","115","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2492","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","32","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2733","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","33","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3566","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","104.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","40","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3029","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.64","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","351","Chine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3203","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","351","Chine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","96","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3267","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","96","Chine - RAS de Hong-Kong","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","128.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","128","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3327","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","128","Chine - RAS de Macao","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","109.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","41","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3206","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","41","Chine, continentale","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.66","Fc","Donnée calculée"
