Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2731","Viande de Bovins","2018","2018","Milliers de tonnes","130","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2731","Viande de Bovins","2018","2018","Milliers de tonnes","5","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2732","Viande d'Ovins/Caprins","2018","2018","Milliers de tonnes","161","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2733","Viande de porcins","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2733","Viande de porcins","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2735","Viande, Autre","2018","2018","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2735","Viande, Autre","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2736","Abats Comestible","2018","2018","Milliers de tonnes","56","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2736","Abats Comestible","2018","2018","Milliers de tonnes","5","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2740","Beurre, Ghee","2018","2018","Milliers de tonnes","37","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2740","Beurre, Ghee","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2743","Crème","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2743","Crème","2018","2018","Milliers de tonnes","2","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2737","Graisses Animales Crue","2018","2018","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2737","Graisses Animales Crue","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2744","Oeufs","2018","2018","Milliers de tonnes","22","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2744","Oeufs","2018","2018","Milliers de tonnes","44","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2848","Lait - Excl Beurre","2018","2018","Milliers de tonnes","2128","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2848","Lait - Excl Beurre","2018","2018","Milliers de tonnes","53","Im","Données de la FAO basées sur une méthodologie d'imputation"
